 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1918	 Glutamate receptor ionotropic kainate 1 
 2 	 CHEMBL3683	 Glutamate receptor ionotropic kainate 2 
 3 	 CHEMBL2919	 Glutamate receptor ionotropic kainate 1 
 4 	 CHEMBL284	 Dipeptidyl peptidase IV 
 5 	 CHEMBL5137	 Metabotropic glutamate receptor 2 
 6 	 CHEMBL3744	 Glutamate receptor ionotropic kainate 3 
 7 	 CHEMBL4328	 Betaine--homocysteine S-methyltransferase 1 
 8 	 CHEMBL3976	 Dipeptidyl peptidase II 
 9 	 CHEMBL1907	 Aminopeptidase N 
 10 	 CHEMBL1743125	 Solute carrier family 15 member 2 
 11 	 CHEMBL4016	 Glutamate receptor ionotropic, AMPA 2 
 12 	 CHEMBL2009	 Glutamate receptor ionotropic, AMPA 1 
 13 	 CHEMBL3439	 Aminopeptidase A 
 14 	 CHEMBL3190	 Glutamate receptor ionotropic, AMPA 4 
 15 	 CHEMBL2888	 Metabotropic glutamate receptor 3 
 16 	 CHEMBL3965	 Leucine aminopeptidase 
 17 	 CHEMBL3048	 Nitric-oxide synthase, brain 
 18 	 CHEMBL3503	 Glutamate receptor ionotropic, AMPA 2 
 19 	 CHEMBL3785	 Hydroxycarboxylic acid receptor 2 
 20 	 CHEMBL4573	 Metabotropic glutamate receptor 6 
