"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.96713141333","422 /  84     "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.96713141333","384 /  79     "
"ATP-binding cassette sub-family G member 2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.900305400066","22 /  14     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.741353385791","110 /  49     "
"Carboxylesterase 2","CES2","O00748","CHEMBL3180","Enzyme","0.256161866082","0 /  1     "
"Estradiol 17-beta-dehydrogenase 1","HSD17B1","P14061","CHEMBL3181","Enzyme","0.139088623131","182 /  1     "
"Sodium/glucose cotransporter 2","SLC5A2","P31639","CHEMBL3884","Electrochemical transporter","0.139088623131","5 /  4     "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.139088623131","527 /  14     "
"Cyclooxygenase-1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.130706652821","44 /  15     "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.113979814646","3 /  83     "
"Acyl coenzyme A:cholesterol acyltransferase","CES1","P23141","CHEMBL2265","Enzyme","0.113979814646","1 /  1     "
"Butyrylcholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.113979814646","41 /  5     "
"Monoamine oxidase B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.113979814646","68 /  102     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.113979814646","32 /  7     "
"Testis-specific androgen-binding protein","SHBG","P04278","CHEMBL3305","Secreted protein","0.113979814646","3 /  1     "
"Phospholipase A2 group 1B","PLA2G1B","P04054","CHEMBL4426","Enzyme","0.105608279572","1 /  1     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.105608279572","72 /  9     "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.105608279572","9 /  6     "
