 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL220	 Acetylcholinesterase 
 2 	 CHEMBL230	 Cyclooxygenase-2 
 3 	 CHEMBL3401	 Pregnane X receptor 
 4 	 CHEMBL3250	 Lysophosphatidic acid receptor Edg-7 
 5 	 CHEMBL3724	 Lysophosphatidic acid receptor Edg-4 
 6 	 CHEMBL1641347	 Solute carrier family 22 member 6 
 7 	 CHEMBL1641348	 Solute carrier family 22 member 8 
 8 	 CHEMBL1293243	 MCOLN3 protein 
 9 	 CHEMBL1741179	 Probable DNA dC-&gt;dU-editing enzyme APOBEC-3A 
 10 	 CHEMBL1741217	 DNA dC-&gt;dU-editing enzyme APOBEC-3G 
 11 	 CHEMBL2163175	 Gamma-butyrobetaine dioxygenase 
 12 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
 13 	 CHEMBL4163	 Toll-like receptor 2 
 14 	 CHEMBL402	 HMG-CoA reductase 
 15 	 CHEMBL2265	 Acyl coenzyme A:cholesterol acyltransferase 
 16 	 CHEMBL3180	 Carboxylesterase 2 
 17 	 CHEMBL1970	 Alcohol dehydrogenase alpha chain 
 18 	 CHEMBL2243	 Anandamide amidohydrolase 
 19 	 CHEMBL3229	 Anandamide amidohydrolase 
 20 	 CHEMBL2083	 Fatty acid binding protein adipocyte 
