"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"GABA-B receptor","GABBR2 GABBR1","O75899 Q9UBS5","CHEMBL2111463","Family C G protein-coupled receptor","0.0649510872641","6 /  1     "
"Gamma-amino-N-butyrate transaminase   (by homology)","ABAT","P80404","CHEMBL2044","Transferase","0.0443083186041","2 /  0     "
"Histone deacetylase 3","HDAC3","O15379","CHEMBL1829","Eraser","0.0","0 /  1     "
"GABA transporter 1","SLC6A1","P30531","CHEMBL1903","Electrochemical transporter","0.0","1 /  1     "
"GABA-A receptor; alpha-1/beta-2/gamma-2","GABRA1 GABRB2 GABRG2","P14867 P47870 P18507","CHEMBL2095172","Ligand-gated ion channel","0.0","1 /  1     "
"GABA A receptor alpha-3/beta-2/gamma-2","GABRA3 GABRB2 GABRG2","P34903 P47870 P18507","CHEMBL2111339","Ligand-gated ion channel","0.0","1 /  1     "
"GABA A receptor alpha-2/beta-2/gamma-2","GABRA2 GABRB2 GABRG2","P47869 P47870 P18507","CHEMBL2111413","Ligand-gated ion channel","0.0","1 /  1     "
"GABA receptor rho-1 subunit","GABRR1","P24046","CHEMBL3561","Ligand-gated ion channel","0.0","1 /  1     "
"GABA transporter 3","SLC6A11","P48066","CHEMBL5208","Electrochemical transporter","0.0","1 /  1     "
"GABA transporter 2   (by homology)","SLC6A13","Q9NSD5","CHEMBL4535","Electrochemical transporter","0.0","1 /  1     "
"Glutamate receptor ionotropic, AMPA 1","GRIA1","P42261","CHEMBL2009","Ligand-gated ion channel","0.0","0 /  1     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0","0 /  1     "
"Glutamate receptor ionotropic kainate 5","GRIK5","Q16478","CHEMBL2675","Ligand-gated ion channel","0.0","0 /  1     "
"Metabotropic glutamate receptor 4","GRM4","Q14833","CHEMBL2736","Family C G protein-coupled receptor","0.0","0 /  1     "
"Glutamate receptor ionotropic, AMPA 4","GRIA4","P48058","CHEMBL3190","Ligand-gated ion channel","0.0","0 /  1     "
"Metabotropic glutamate receptor 5","GRM5","P41594","CHEMBL3227","Family C G protein-coupled receptor","0.0","0 /  3     "
"Glutamate receptor ionotropic kainate 3","GRIK3","Q13003","CHEMBL3684","Ligand-gated ion channel","0.0","0 /  1     "
"Metabotropic glutamate receptor 7","GRM7","Q14831","CHEMBL3777","Family C G protein-coupled receptor","0.0","0 /  1     "
"Glutamate receptor ionotropic, AMPA 2","GRIA2","P42262","CHEMBL4016","Ligand-gated ion channel","0.0","0 /  1     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.0","0 /  1     "
"Leukotriene A4 hydrolase","LTA4H","P09960","CHEMBL4618","Protease","0.0","0 /  1     "
"Lysosomal alpha-glucosidase","GAA","P10253","CHEMBL2608","Hydrolase","0.0","1 /  0     "
