"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Prostanoid FP receptor","PTGFR","P43088","CHEMBL1987","Family A G protein-coupled receptor","0.0428942118511","0 /  16     "
"Steryl-sulfatase","STS","P08842","CHEMBL3559","Enzyme","0.0428942118511","0 /  55     "
"Estradiol 17-beta-dehydrogenase 3","HSD17B3","P37058","CHEMBL4234","Enzyme","0.0428942118511","0 /  12     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.0428942118511","0 /  29     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.0428942118511","0 /  43     "
"Kinesin-like protein 1","KIF11","P52732","CHEMBL4581","Other cytosolic protein","0.0428942118511","0 /  14     "
"Carboxypeptidase A1","CPA1","P15085","CHEMBL2088","Protease","0.0428942118511","11 /  5     "
"Catechol O-methyltransferase   (by homology)","COMT","P21964","CHEMBL2023","Transferase","0.0428942118511","1 /  5     "
"AMP deaminase 3","AMPD3","Q01432","CHEMBL2912","Enzyme","0.0428942118511","7 /  0     "
"Endothelin-converting enzyme 1","ECE1","P42892","CHEMBL4791","Protease","0.0428942118511","9 /  0     "
"Fructose-1,6-bisphosphatase","FBP1","P09467","CHEMBL3975","Enzyme","0.0428942118511","25 /  0     "
"Solute carrier family 13 member 5","SLC13A5","Q86YT5","CHEMBL3769293","Electrochemical transporter","0.0428942118511","10 /  3     "
"Prostanoid EP1 receptor","PTGER1","P34995","CHEMBL1811","Family A G protein-coupled receptor","0.0428942118511","0 /  3     "
"Prostanoid EP2 receptor","PTGER2","P43116","CHEMBL1881","Family A G protein-coupled receptor","0.0428942118511","0 /  3     "
"Focal adhesion kinase 1","PTK2","Q05397","CHEMBL2695","Kinase","0.0428942118511","0 /  2     "
"ALK tyrosine kinase receptor","ALK","Q9UM73","CHEMBL4247","Kinase","0.0428942118511","0 /  5     "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.0428942118511","1 /  0     "
"Prostanoid EP4 receptor   (by homology)","PTGER4","P35408","CHEMBL1836","Family A G protein-coupled receptor","0.0428942118511","0 /  15     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.0428942118511","0 /  33     "
