 Rank 	 ChEMBL ID 	 Common name 
 1 	 CHEMBL1903	 GABA transporter 1 
 2 	 CHEMBL296	 GABA receptor gamma-1 subunit 
 3 	 CHEMBL341	 GABA receptor alpha-2 subunit 
 4 	 CHEMBL3561	 GABA receptor rho-1 subunit 
 5 	 CHEMBL4054	 GABA transporter 1 
 6 	 CHEMBL1641347	 Solute carrier family 22 member 6 
 7 	 CHEMBL239	 Peroxisome proliferator-activated receptor alpha 
 8 	 CHEMBL3979	 Peroxisome proliferator-activated receptor delta 
 9 	 CHEMBL4163	 Toll-like receptor 2 
 10 	 CHEMBL1641348	 Solute carrier family 22 member 8 
 11 	 CHEMBL2083	 Fatty acid binding protein adipocyte 
 12 	 CHEMBL3344	 Fatty acid binding protein muscle 
 13 	 CHEMBL3674	 Fatty acid binding protein epidermal 
 14 	 CHEMBL1892	 Glutamate carboxypeptidase II 
 15 	 CHEMBL2219	 Protein-tyrosine phosphatase LC-PTP 
 16 	 CHEMBL2243	 Anandamide amidohydrolase 
 17 	 CHEMBL235	 Peroxisome proliferator-activated receptor gamma 
 18 	 CHEMBL2916	 Telomerase reverse transcriptase 
 19 	 CHEMBL5738	 Fatty acid-binding protein, liver 
 20 	 CHEMBL5524	 Protein-arginine N-methyltransferase 1 
