"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Fatty acid binding protein adipocyte","FABP4","P15090","CHEMBL2083","Fatty acid binding protein family","0.935895337456","20 /  3     "
"Peroxisome proliferator-activated receptor alpha","PPARA","Q07869","CHEMBL239","Nuclear receptor","0.935895337456","160 /  9     "
"Fatty acid binding protein muscle","FABP3","P05413","CHEMBL3344","Fatty acid binding protein family","0.935895337456","9 /  5     "
"Fatty acid binding protein epidermal","FABP5","Q01469","CHEMBL3674","Fatty acid binding protein family","0.935895337456","3 /  2     "
"Peroxisome proliferator-activated receptor delta","PPARD","Q03181","CHEMBL3979","Nuclear receptor","0.935895337456","148 /  7     "
"Fatty acid binding protein intestinal","FABP2","P12104","CHEMBL4879","Fatty acid binding protein family","0.935895337456","1 /  1     "
"Free fatty acid receptor 1","FFAR1","O14842","CHEMBL4422","Family A G protein-coupled receptor","0.598213027933","151 /  3     "
"Solute carrier family 22 member 6   (by homology)","SLC22A6","Q4U2R8","CHEMBL1641347","Electrochemical transporter","0.207865841523","0 /  2     "
"Dual specificity phosphatase Cdc25A","CDC25A","P30304","CHEMBL3775","Phosphatase","0.198808518053","18 /  14     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.153377072466","78 /  22     "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Enzyme","0.126154249845","0 /  7     "
"DNA polymerase beta","POLB","P06746","CHEMBL2392","Enzyme","0.108018050868","2 /  5     "
"Vitamin D receptor","VDR","P11473","CHEMBL1977","Nuclear receptor","0.0898720672475","2 /  2     "
"Bile acid receptor FXR","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.0898720672475","96 /  11     "
"Histone lysine demethylase PHF8","PHF8","Q9UPP1","CHEMBL1938212","Eraser","0.0898720672475","0 /  1     "
"UDP-glucuronosyltransferase 2B7","UGT2B7","P16662","CHEMBL4370","Enzyme","0.0898720672475","0 /  20     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.0807923867549","0 /  22     "
"Corticosteroid binding globulin","SERPINA6","P08185","CHEMBL2421","Secreted protein","0.0807923867549","0 /  6     "
"Testis-specific androgen-binding protein","SHBG","P04278","CHEMBL3305","Secreted protein","0.0807923867549","0 /  26     "
"Estradiol 17-beta-dehydrogenase 3","HSD17B3","P37058","CHEMBL4234","Enzyme","0.0807923867549","0 /  11     "
"Glucose-6-phosphate 1-dehydrogenase","G6PD","P11413","CHEMBL5347","Enzyme","0.0807923867549","0 /  9     "
"GABA-B receptor   (by homology)","GABBR1","Q9UBS5","CHEMBL2064","Family C G protein-coupled receptor","0.0807923867549","0 /  1     "
"Prostanoid EP2 receptor","PTGER2","P43116","CHEMBL1881","Family A G protein-coupled receptor","0.0807923867549","74 /  5     "
"Lysine-specific demethylase 2A","KDM2A","Q9Y2K7","CHEMBL1938210","Eraser","0.0807923867549","16 /  1     "
"Lysine-specific demethylase 5C","KDM5C","P41229","CHEMBL2163176","Eraser","0.0807923867549","16 /  1     "
"G-protein coupled bile acid receptor 1","GPBAR1","Q8TDU6","CHEMBL5409","Family A G protein-coupled receptor","0.071715932485","4 /  15     "
"Niemann-Pick C1-like protein 1","NPC1L1","Q9UHC9","CHEMBL2027","Other membrane protein","0.0626219668353","0 /  6     "
"GABA A receptor alpha-2/beta-2/gamma-2","GABRA2 GABRB2 GABRG2","P47869 P47870 P18507","CHEMBL2111413","Ligand-gated ion channel","0.0626219668353","0 /  2     "
"Protein farnesyltransferase","FNTA FNTB","P49354 P49356","CHEMBL2094108","Enzyme","0.0626219668353","20 /  8     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.0626219668353","1 /  33     "
"Hydroxyacid oxidase 1","HAO1","Q9UJM8","CHEMBL4229","Enzyme","0.0535560755162","3 /  1     "
"Prostanoid FP receptor","PTGFR","P43088","CHEMBL1987","Family A G protein-coupled receptor","0.0535560755162","1 /  1     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.0535560755162","120 /  27     "
"11-beta-hydroxysteroid dehydrogenase 2","HSD11B2","P80365","CHEMBL3746","Enzyme","0.0535560755162","11 /  3     "
"Glutathione S-transferase kappa 1","GSTK1","Q9Y2Q3","CHEMBL4491","Enzyme","0.0535560755162","0 /  1     "
"Leukotriene A4 hydrolase","LTA4H","P09960","CHEMBL4618","Protease","0.0535560755162","0 /  1     "
"Carbonic anhydrase II","CA2","P00918","CHEMBL205","Lyase","0.0535560755162","6 /  5     "
"Carbonic anhydrase I","CA1","P00915","CHEMBL261","Lyase","0.0535560755162","8 /  7     "
"Nuclear receptor subfamily 0 group B member 2","NR0B2","Q15466","CHEMBL5603","Nuclear receptor","0.0535560755162","1 /  0     "
"CDC45-related protein","CDC45","O75419","CHEMBL3040","Other nuclear protein","0.0535560755162","0 /  1     "
"Leukocyte common antigen","PTPRC","P08575","CHEMBL3243","Enzyme","0.0535560755162","0 /  1     "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.0535560755162","265 /  8     "
"Cytochrome P450 26A1","CYP26A1","O43174","CHEMBL5141","Cytochrome P450","0.0535560755162","7 /  0     "
"Retinoid X receptor alpha","RXRA","P19793","CHEMBL2061","Nuclear receptor","0.0535560755162","210 /  0     "
"Retinoic acid receptor gamma","RARG","P13631","CHEMBL2003","Nuclear receptor","0.0535560755162","129 /  0     "
"Retinoic acid receptor beta","RARB","P10826","CHEMBL2008","Nuclear receptor","0.0535560755162","135 /  0     "
"Retinoic acid receptor alpha","RARA","P10276","CHEMBL2055","Nuclear receptor","0.0535560755162","124 /  0     "
"Anandamide amidohydrolase","FAAH","O00519","CHEMBL2243","Enzyme","0.0535560755162","4 /  1     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.0535560755162","1 /  1     "
"Fatty acid-binding protein, liver","FABP1","P07148","CHEMBL5421","Fatty acid binding protein family","0.0535560755162","1 /  1     "
"Cytochrome P450 26B1","CYP26B1","Q9NR63","CHEMBL3713687","Cytochrome P450","0.0535560755162","9 /  0     "
"Retinoid X receptor gamma   (by homology)","RXRG","P48443","CHEMBL2004","Nuclear receptor","0.0535560755162","105 /  0     "
"G-protein coupled receptor 120","FFAR4","Q5NUL3","CHEMBL5339","Family A G protein-coupled receptor","0.0535560755162","15 /  0     "
"Voltage-gated calcium channel alpha2/delta subunit 1","CACNA2D1","P54289","CHEMBL1919","Calcium channel auxiliary subunit alpha2delta family","0.0535560755162","0 /  4     "
"Retinoid X receptor beta","RXRB","P28702","CHEMBL1870","Nuclear receptor","0.0535560755162","69 /  0     "
"Monocarboxylate transporter 1   (by homology)","SLC16A1","P53985","CHEMBL4360","Electrochemical transporter","0.0535560755162","13 /  0     "
"Arachidonate 15-lipoxygenase","ALOX15","P16050","CHEMBL2903","Enzyme","0.0535560755162","2 /  0     "
"Arachidonate 12-lipoxygenase","ALOX12","P18054","CHEMBL3687","Enzyme","0.0535560755162","3 /  0     "
"Prostanoid EP4 receptor","PTGER4","P35408","CHEMBL1836","Family A G protein-coupled receptor","0.0535560755162","73 /  0     "
"Glycine receptor subunit alpha-1","GLRA1","P23415","CHEMBL5845","Ligand-gated ion channel","0.0535560755162","1 /  0     "
"Epoxide hydratase","EPHX2","P34913","CHEMBL2409","Protease","0.0535560755162","58 /  0     "
"Multidrug resistance-associated protein 1","ABCC1","P33527","CHEMBL3004","Primary active transporter","0.0535560755162","1 /  0     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0535560755162","1 /  0     "
"Neuronal acetylcholine receptor protein alpha-7 subunit   (by homology)","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.0535560755162","0 /  2     "
"Cytosolic phospholipase A2","PLA2G4A","P47712","CHEMBL3816","Enzyme","0.0535560755162","62 /  0     "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Enzyme","0.0535560755162","34 /  8     "
"Acyl-CoA desaturase","SCD","O00767","CHEMBL5555","Enzyme","0.0535560755162","11 /  1     "
"SUMO-activating enzyme","SAE1 UBA2","Q9UBE0 Q9UBT2","CHEMBL2095174","Enzyme","0.0535560755162","0 /  2     "
"Metabotropic glutamate receptor 5","GRM5","P41594","CHEMBL3227","Family C G protein-coupled receptor","0.0535560755162","0 /  4     "
"Plasminogen","PLG","P00747","CHEMBL1801","Protease","0.0535560755162","1 /  1     "
"Serotonin 2b (5-HT2b) receptor","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.0535560755162","2 /  0     "
"Nuclear receptor ROR-beta","RORB","Q92753","CHEMBL3091268","Nuclear receptor","0.0535560755162","1 /  0     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.0535560755162","3 /  0     "
"Nuclear receptor ROR-alpha","RORA","P35398","CHEMBL5868","Nuclear receptor","0.0535560755162","1 /  0     "
"G protein-coupled receptor 44","PTGDR2","Q9Y5Y4","CHEMBL5071","Family A G protein-coupled receptor","0.0535560755162","187 /  0     "
"Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2","ITGAL ICAM1 ITGB2","P20701 P05362 P05107","CHEMBL2096661","Membrane receptor","0.0535560755162","6 /  0     "
"Thromboxane A2 receptor","TBXA2R","P21731","CHEMBL2069","Family A G protein-coupled receptor","0.0","129 /  0     "
"Hepatocyte nuclear factor 4-alpha","HNF4A","P41235","CHEMBL5398","Unclassified protein","0.0","9 /  0     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.0","26 /  0     "
"Aldo-keto reductase family 1 member C1","AKR1C1","Q04828","CHEMBL5905","Enzyme","0.0","2 /  0     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.0","27 /  21     "
"Autotaxin","ENPP2","Q13822","CHEMBL3691","Enzyme","0.0","23 /  0     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.0","12 /  0     "
"Transient receptor potential cation channel subfamily A member 1","TRPA1","O75762","CHEMBL6007","Voltage-gated ion channel","0.0","1 /  0     "
"Methionine aminopeptidase 1","METAP1","P53582","CHEMBL2474","Protease","0.0","2 /  0     "
"Plasma retinol-binding protein","RBP4","P02753","CHEMBL3100","Secreted protein","0.0","14 /  0     "
"Glucagon","GCG","P01275","CHEMBL5736","Unclassified protein","0.0","40 /  0     "
"Steryl-sulfatase","STS","P08842","CHEMBL3559","Enzyme","0.0","3 /  0     "
"Prostanoid DP receptor","PTGDR","Q13258","CHEMBL4427","Family A G protein-coupled receptor","0.0","122 /  0     "
"Gamma-secretase","PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B","P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43","CHEMBL2094135","Protease","0.0","5 /  0     "
"Leukocyte adhesion glycoprotein LFA-1 alpha","ITGAL","P20701","CHEMBL1803","Adhesion","0.0","6 /  0     "
"AMPK alpha2/beta1/gamma1","PRKAG1 PRKAB1 PRKAA2","P54619 Q9Y478 P54646","CHEMBL3038455","Kinase","0.0","8 /  0     "
"Thyroid hormone receptor alpha","THRA","P10827","CHEMBL1860","Nuclear receptor","0.0","13 /  0     "
"Thyroid hormone receptor beta-1","THRB","P10828","CHEMBL1947","Nuclear receptor","0.0","13 /  0     "
"Neprilysin   (by homology)","MME","P08473","CHEMBL1944","Protease","0.0","4 /  0     "
"Prostanoid EP3 receptor","PTGER3","P43115","CHEMBL3710","Family A G protein-coupled receptor","0.0","16 /  0     "
