GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	P01100	FOS	acts_upstream_of	GO:0006366	transcription by RNA polymerase II	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P01101|ensembl:ENSMUSP00000021674|UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	UniProt		P
UniProtKB	P01100	FOS	acts_upstream_of	GO:0030316	osteoclast differentiation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		P
UniProtKB	P01100	FOS	acts_upstream_of_or_within	GO:0007399	nervous system development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		P
UniProtKB	P01100	FOS	acts_upstream_of_or_within	GO:0009410	response to xenobiotic stimulus	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P01101|ensembl:ENSMUSP00000021674|UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	UniProt		P
UniProtKB	P01100	FOS	acts_upstream_of_or_within	GO:0010468	regulation of gene expression	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		P
UniProtKB	P01100	FOS	acts_upstream_of_or_within	GO:0035914	skeletal muscle cell differentiation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		P
UniProtKB	P01100	FOS	acts_upstream_of_or_within	GO:0035994	response to muscle stretch	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		P
UniProtKB	P01100	FOS	acts_upstream_of_or_within	GO:0045672	positive regulation of osteoclast differentiation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		P
UniProtKB	P01100	FOS	acts_upstream_of_or_within	GO:0045944	positive regulation of transcription by RNA polymerase II	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		P
UniProtKB	P01100	FOS	acts_upstream_of_or_within	GO:0071277	cellular response to calcium ion	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		P
UniProtKB	P01100	FOS	enables	GO:0000976	transcription cis-regulatory region binding	ECO:0000314	IDA	PMID:9732876		9606	BHF-UCL		F
UniProtKB	P01100	FOS	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0001297|MGI:MGI:102858|MGI:MGI:109384|MGI:MGI:1859147|MGI:MGI:1932093|MGI:MGI:95574|MGI:MGI:95575|PANTHER:PTN001156258|RGD:2165|RGD:2627|UniProtKB:P01100|UniProtKB:P15407|UniProtKB:Q9NR55	9606	GO_Central		F
UniProtKB	P01100	FOS	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		F
UniProtKB	P01100	FOS	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	ECO:0000314	IDA	PMID:30670568		9606	BHF-UCL		F
UniProtKB	P01100	FOS	enables	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	ECO:0000315	IMP	PMID:10704222		9606	CAFA		F
UniProtKB	P01100	FOS	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0001297|MGI:MGI:109384|MGI:MGI:1859147|MGI:MGI:1932093|MGI:MGI:95574|MGI:MGI:95575|PANTHER:PTN001156258|RGD:2165|RGD:2627|UniProtKB:P01100|UniProtKB:P15408|UniProtKB:P18847|UniProtKB:Q8WYK2|UniProtKB:Q9NR55	9606	GO_Central		F
UniProtKB	P01100	FOS	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0005556	ISA	GO_REF:0000113	tfclass:1.1.2	9606	NTNU_SB		F
UniProtKB	P01100	FOS	enables	GO:0001221	transcription coregulator binding	ECO:0000353	IPI	PMID:10523647	UniProtKB:P35639	9606	ParkinsonsUK-UCL		F
UniProtKB	P01100	FOS	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		F
UniProtKB	P01100	FOS	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:30670568		9606	BHF-UCL	part_of(GO:1902895),has_input(RNAcentral:URS00002E99CB_9606)	F
UniProtKB	P01100	FOS	enables	GO:0003677	DNA binding	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P01101|ensembl:ENSMUSP00000021674|UniProtKB:P12841|ensembl:ENSRNOP00000010712|InterPro:IPR000837|UniProtKB-KW:KW-0238	9606	UniProt		F
UniProtKB	P01100	FOS	enables	GO:0003682	chromatin binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01101|ensembl:ENSMUSP00000021674	9606	Ensembl		F
UniProtKB	P01100	FOS	enables	GO:0003690	double-stranded DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		F
UniProtKB	P01100	FOS	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P01101|ensembl:ENSMUSP00000021674|UniProtKB:P12841|ensembl:ENSRNOP00000010712|InterPro:IPR000837|InterPro:IPR004827|InterPro:IPR046347	9606	UniProt		F
UniProtKB	P01100	FOS	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000315	IMP	PMID:10704222		9606	CAFA		F
