Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2562578,"TRIF-mediated programmed cell death",1,9,7.431260837255387E-4,0.004450481159760322,0.051644443347803604,3,3,1.9378593114139912E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-2562564;R-HSA-2569057;R-HSA-2562541"
R-HSA-9824878,"Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7 ",1,14,0.0011559739080175047,0.00691583018018882,0.051644443347803604,3,3,1.9378593114139912E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-9823904;R-HSA-9823939;R-HSA-9823934"
R-HSA-975163,"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation",1,15,0.0012385434728758979,0.007408288951227249,0.051644443347803604,1,5,3.229765519023319E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-450358"
R-HSA-937072,"TRAF6-mediated induction of TAK1 complex within TLR4 complex",1,16,0.0013211130377342912,0.007900544201679294,0.051644443347803604,6,6,3.8757186228279824E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-450358;R-HSA-936952;R-HSA-936985;R-HSA-936951;R-HSA-937075;R-HSA-936947"
R-HSA-936964,"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",1,18,0.0014862521674510775,0.008884444409980818,0.051644443347803604,13,15,9.689296557069956E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-5362486;R-HSA-9824882;R-HSA-166245;R-HSA-9823932;R-HSA-9823934;R-HSA-9823910;R-HSA-5362500;R-HSA-9823904;R-HSA-9823939;R-HSA-9823906;R-HSA-2213017;R-HSA-2201338;R-HSA-166271"
R-HSA-5602498,"MyD88 deficiency (TLR2/4)",1,19,0.0015688217323094706,0.009376089502366458,0.051644443347803604,2,2,1.2919062076093276E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-5602383;R-HSA-5602606"
R-HSA-140534,"Caspase activation via Death Receptors in the presence of ligand",1,19,0.0015688217323094706,0.009376089502366458,0.051644443347803604,1,9,5.813577934241974E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-2562564"
R-HSA-5603041,"IRAK4 deficiency (TLR2/4)",1,20,0.001651391297167864,0.00986753134323981,0.051644443347803604,1,1,6.459531038046638E-5,9606,Homo sapiens,"TLR4","O00206","R-HSA-5602353"
R-HSA-5686938,"Regulation of TLR by endogenous ligand",1,22,0.0018165304268846503,0.01084980553933812,0.051644443347803604,6,13,8.397390349460629E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-6805943;R-HSA-8870678;R-HSA-5432849;R-HSA-8869667;R-HSA-5432852;R-HSA-5432825"
R-HSA-937041,"IKK complex recruitment mediated by RIP1",1,23,0.0018990999917430436,0.011340638028966343,0.051644443347803604,3,3,1.9378593114139912E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-168915;R-HSA-937029;R-HSA-168921"
R-HSA-5357769,"Caspase activation via extrinsic apoptotic signalling pathway",1,29,0.002394517380893403,0.014281372679921245,0.051644443347803604,1,17,0.0010981202764679284,9606,Homo sapiens,"TLR4","O00206","R-HSA-2562564"
R-HSA-9820960,"Respiratory syncytial virus (RSV) attachment and entry",1,31,0.002559656510610189,0.015259996207908633,0.051644443347803604,1,7,4.5216717266326466E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-9836227"
R-HSA-5260271,"Diseases of Immune System",1,35,0.002889934770043762,0.017214814449267868,0.051644443347803604,3,14,9.043343453265293E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-5602353;R-HSA-5602383;R-HSA-5602606"
R-HSA-5602358,"Diseases associated with the TLR signaling cascade",1,35,0.002889934770043762,0.017214814449267868,0.051644443347803604,3,14,9.043343453265293E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-5602353;R-HSA-5602383;R-HSA-5602606"
R-HSA-6811438,"Intra-Golgi traffic",1,44,0.0036330608537693005,0.021601334610582557,0.05327337793921594,1,10,6.459531038046638E-4,9606,Homo sapiens,"rich","Q4ADV7","R-HSA-8847887"
R-HSA-9707616,"Heme signaling",1,47,0.00388076954834448,0.023059877225495407,0.05327337793921594,1,25,0.0016148827595116595,9606,Homo sapiens,"TLR4","O00206","R-HSA-9707659"
R-HSA-6811440,"Retrograde transport at the Trans-Golgi-Network",1,49,0.004045908678061267,0.02403123198014423,0.05327337793921594,4,20,0.0012919062076093275,9606,Homo sapiens,"rich","Q4ADV7","R-HSA-6811431;R-HSA-6811429;R-HSA-6811428;R-HSA-6814682"
R-HSA-1236974,"ER-Phagosome pathway",1,85,0.007018413012963421,0.04137848424287027,0.05327337793921594,1,11,7.105484141851302E-4,9606,Homo sapiens,"TLR4","O00206","R-HSA-8863895"
R-HSA-8876198,"RAB GEFs exchange GTP for GDP on RABs",1,90,0.007431260837255388,0.04376737247523088,0.05327337793921594,1,21,0.001356501517989794,9606,Homo sapiens,"rich","Q4ADV7","R-HSA-8876193"
R-HSA-1236975,"Antigen processing-Cross presentation",1,101,0.008339526050697713,0.049005468467635094,0.05327337793921594,1,24,0.001550287449131193,9606,Homo sapiens,"TLR4","O00206","R-HSA-8863895"
R-HSA-975138,"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",1,102,0.008422095615556105,0.04948047092955621,0.05327337793921594,1,60,0.0038757186228279825,9606,Homo sapiens,"TLR4","O00206","R-HSA-450358"
R-HSA-975155,"MyD88 dependent cascade initiated on endosome",1,103,0.008504665180414499,0.049955275663278176,0.05327337793921594,1,75,0.004844648278534978,9606,Homo sapiens,"TLR4","O00206","R-HSA-450358"
R-HSA-168181,"Toll Like Receptor 7/8 (TLR7/8) Cascade",1,107,0.008834943439848073,0.051852518632957034,0.05327337793921594,1,85,0.005490601382339642,9606,Homo sapiens,"TLR4","O00206","R-HSA-450358"
R-HSA-9833110,"RSV-host interactions",1,108,0.008917513004706465,0.05232633571312806,0.05327337793921594,1,27,0.0017440733802725921,9606,Homo sapiens,"TLR4","O00206","R-HSA-9836227"
R-HSA-166166,"MyD88-independent TLR4 cascade ",1,110,0.009082652134423252,0.05327337793921594,0.05327337793921594,27,78,0.0050384342096763774,9606,Homo sapiens,"TLR4","O00206","R-HSA-2569057;R-HSA-2562541;R-HSA-937029;R-HSA-168915;R-HSA-5362500;R-HSA-9823939;R-HSA-936985;R-HSA-2201338;R-HSA-168921;R-HSA-166175;R-HSA-2562564;R-HSA-5362486;R-HSA-9824882;R-HSA-166245;R-HSA-9823932;R-HSA-9823934;R-HSA-450358;R-HSA-9823910;R-HSA-9823904;R-HSA-936952;R-HSA-2559568;R-HSA-9823906;R-HSA-2213017;R-HSA-936951;R-HSA-166271;R-HSA-937075;R-HSA-936947"
R-HSA-937061,"TRIF (TICAM1)-mediated TLR4 signaling ",1,110,0.009082652134423252,0.05327337793921594,0.05327337793921594,25,76,0.004909243588915445,9606,Homo sapiens,"TLR4","O00206","R-HSA-2569057;R-HSA-2562541;R-HSA-937029;R-HSA-168915;R-HSA-5362500;R-HSA-9823939;R-HSA-936985;R-HSA-2201338;R-HSA-168921;R-HSA-2562564;R-HSA-5362486;R-HSA-9824882;R-HSA-166245;R-HSA-9823932;R-HSA-9823934;R-HSA-450358;R-HSA-9823910;R-HSA-9823904;R-HSA-936952;R-HSA-9823906;R-HSA-2213017;R-HSA-936951;R-HSA-166271;R-HSA-937075;R-HSA-936947"
R-HSA-168138,"Toll Like Receptor 9 (TLR9) Cascade",1,110,0.009082652134423252,0.05327337793921594,0.05327337793921594,1,86,0.005555196692720109,9606,Homo sapiens,"TLR4","O00206","R-HSA-450358"
R-HSA-166058,"MyD88:MAL(TIRAP) cascade initiated on plasma membrane",1,115,0.009495499958715218,0.05563753362194779,0.05563753362194779,16,76,0.004909243588915445,9606,Homo sapiens,"TLR4","O00206","R-HSA-166082;R-HSA-2201316;R-HSA-166119;R-HSA-166091;R-HSA-2201322;R-HSA-166286;R-HSA-937059;R-HSA-166284;R-HSA-937022;R-HSA-2559414;R-HSA-2262775;R-HSA-166362;R-HSA-937079;R-HSA-166363;R-HSA-166072;R-HSA-2262777"
R-HSA-168188,"Toll Like Receptor TLR6:TLR2 Cascade",1,115,0.009495499958715218,0.05563753362194779,0.05563753362194779,16,78,0.0050384342096763774,9606,Homo sapiens,"TLR4","O00206","R-HSA-166082;R-HSA-2201316;R-HSA-166119;R-HSA-166091;R-HSA-2201322;R-HSA-166286;R-HSA-937059;R-HSA-166284;R-HSA-937022;R-HSA-2559414;R-HSA-2262775;R-HSA-166362;R-HSA-937079;R-HSA-166363;R-HSA-166072;R-HSA-2262777"
